time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,timestamp,Symbol
1561680000,12433.0,10772.75,11154.09,120700.97,1408438810.31,12355.06,direct,,2019-06-28,BTC
1561766400,12362.9,11352.27,12355.06,81875.16,968516834.6,11884.1,direct,,2019-06-29,BTC
1561852800,12200.02,10677.83,11884.1,80893.36,917158052.37,10769.05,direct,,2019-06-30,BTC
1561939200,11207.0,10006.43,10769.05,115739.97,1225129699.57,10591.87,direct,,2019-07-01,BTC
1562025600,10927.6,9678.1,10591.87,120994.95,1239524970.43,10844.13,direct,,2019-07-02,BTC
1562112000,12009.59,10841.91,10844.13,115565.16,1313585829.89,11981.61,direct,,2019-07-03,BTC
1562198400,12055.11,11067.68,11981.61,71141.03,831236841.56,11156.52,direct,,2019-07-04,BTC
1562284800,11435.38,10787.94,11156.52,66066.75,734424868.07,10993.25,direct,,2019-07-05,BTC
1562371200,11709.27,10985.4,10993.25,48172.2,549769169.13,11248.94,direct,,2019-07-06,BTC
1562457600,11605.43,11109.42,11248.94,36847.21,418161890.29,11474.28,direct,,2019-07-07,BTC
1562544000,12386.28,11339.02,11474.28,63847.27,762033323.29,12296.16,direct,,2019-07-08,BTC
1562630400,12808.06,12117.31,12296.16,79607.47,993891866.34,12567.02,direct,,2019-07-09,BTC
1562716800,13183.73,11569.94,12567.02,124523.09,1554955347.89,12099.12,direct,,2019-07-10,BTC
1562803200,12099.91,11002.39,12099.12,102929.11,1185222449.66,11343.12,direct,,2019-07-11,BTC
1562889600,11931.91,11096.61,11343.12,55994.89,647690095.15,11797.37,direct,,2019-07-12,BTC
1562976000,11835.87,10827.53,11797.37,59187.84,668325183.28,11363.97,direct,,2019-07-13,BTC
1563062400,11447.92,10118.85,11363.97,76310.21,814667763.32,10204.41,direct,,2019-07-14,BTC
1563148800,11070.18,9877.02,10204.41,92742.77,965178341.63,10850.26,direct,,2019-07-15,BTC
1563235200,11025.76,9366.82,10850.26,113537.84,1140137759.72,9423.44,direct,,2019-07-16,BTC
1563321600,9982.24,9086.51,9423.44,101032.08,965256823.84,9696.15,direct,,2019-07-17,BTC
1563408000,10776.54,9292.61,9696.15,102443.07,1033842556.65,10638.35,direct,,2019-07-18,BTC
1563494400,10757.41,10135.16,10638.35,62995.33,658190962.53,10532.94,direct,,2019-07-19,BTC
1563580800,11094.32,10379.19,10532.94,56766.57,608954333.23,10759.42,direct,,2019-07-20,BTC
1563667200,10833.99,10329.89,10759.42,38379.41,405339891.1,10586.71,direct,,2019-07-21,BTC
1563753600,10676.6,10072.07,10586.71,50574.02,524442852.25,10325.87,direct,,2019-07-22,BTC
1563840000,10328.44,9820.61,10325.87,52754.02,529438124.08,9854.15,direct,,2019-07-23,BTC
1563926400,9920.54,9535.78,9854.15,54750.78,531611909.42,9772.14,direct,,2019-07-24,BTC
1564012800,10184.43,9744.7,9772.14,40285.56,403576364.36,9882.43,direct,,2019-07-25,BTC
1564099200,9890.05,9668.52,9882.43,31960.31,312717110.04,9847.45,direct,,2019-07-26,BTC
1564185600,10202.95,9310.47,9847.45,53081.42,512612117.07,9478.32,direct,,2019-07-27,BTC
1564272000,9591.52,9135.64,9478.32,28313.55,267243770.14,9531.77,direct,,2019-07-28,BTC
1564358400,9717.69,9386.9,9531.77,31434.4,299936368.39,9506.93,direct,,2019-07-29,BTC
1564444800,9749.53,9391.78,9506.93,28856.19,276402322.56,9595.52,direct,,2019-07-30,BTC
1564531200,10123.94,9581.6,9595.52,42030.01,416343142.53,10089.25,direct,,2019-07-31,BTC
1564617600,10488.81,9890.49,10089.25,43505.11,442037342.05,10409.79,direct,,2019-08-01,BTC
1564704000,10666.64,10340.82,10409.79,44213.09,463688251.79,10528.99,direct,,2019-08-02,BTC
1564790400,10915.0,10509.35,10528.99,34102.93,367536516.75,10820.41,direct,,2019-08-03,BTC
1564876800,11074.95,10572.24,10820.41,39795.33,431699306.35,10978.91,direct,,2019-08-04,BTC
1564963200,11945.38,10978.89,10978.91,74748.53,870917186.96,11807.96,direct,,2019-08-05,BTC
1565049600,12316.85,11224.1,11807.96,80694.71,949534020.01,11467.1,direct,,2019-08-06,BTC
1565136000,12138.55,11393.98,11467.1,70893.9,834719365.81,11974.28,direct,,2019-08-07,BTC
1565222400,12042.87,11498.04,11974.28,49871.24,588463519.89,11982.8,direct,,2019-08-08,BTC
1565308800,12027.57,11674.06,11982.8,39230.82,464214586.73,11865.21,direct,,2019-08-09,BTC
1565395200,11971.35,11232.42,11865.21,40869.27,470049694.45,11293.59,direct,,2019-08-10,BTC
1565481600,11584.35,11119.32,11293.59,25734.51,292814721.19,11549.06,direct,,2019-08-11,BTC
1565568000,11554.74,11240.38,11549.06,20181.72,229908138.9,11387.41,direct,,2019-08-12,BTC
1565654400,11439.48,10765.3,11387.41,43742.98,483240069.77,10872.0,direct,,2019-08-13,BTC
1565740800,10873.44,9924.58,10872.0,70125.86,728247545.72,10031.89,direct,,2019-08-14,BTC
1565827200,10451.61,9497.12,10031.89,84438.15,842979140.9,10308.51,direct,,2019-08-15,BTC
1565913600,10544.97,9764.32,10308.51,62357.48,635040831.46,10360.43,direct,,2019-08-16,BTC
1566000000,10474.64,10010.76,10360.43,24470.79,251018339.59,10220.75,direct,,2019-08-17,BTC
1566086400,10512.89,10079.46,10220.75,21614.15,223456175.83,10326.25,direct,,2019-08-18,BTC
1566172800,10937.26,10278.31,10326.25,39936.81,426168059.98,10922.16,direct,,2019-08-19,BTC
1566259200,10956.06,10576.37,10922.16,30891.56,332208752.04,10770.76,direct,,2019-08-20,BTC
1566345600,10805.7,9870.07,10770.76,57446.51,584554031.67,10131.67,direct,,2019-08-21,BTC
1566432000,10231.99,9777.06,10131.67,38005.1,380411207.72,10104.11,direct,,2019-08-22,BTC
1566518400,10468.14,10053.67,10104.11,31466.97,324471966.33,10410.49,direct,,2019-08-23,BTC
1566604800,10430.99,9911.2,10410.49,28068.47,283755017.73,10150.07,direct,,2019-08-24,BTC
1566691200,10353.95,9907.03,10150.07,25686.72,259448931.12,10141.75,direct,,2019-08-25,BTC
1566777600,10626.93,10141.75,10141.75,42155.28,437989368.7,10364.91,direct,,2019-08-26,BTC
1566864000,10381.92,10038.26,10364.91,26481.68,269489962.47,10175.47,direct,,2019-08-27,BTC
1566950400,10281.59,9600.83,10175.47,49145.33,486936428.33,9722.83,direct,,2019-08-28,BTC
1567036800,9724.52,9344.69,9722.83,42711.51,406305621.25,9492.81,direct,,2019-08-29,BTC
1567123200,9699.85,9368.27,9492.81,28941.49,276606372.89,9587.25,direct,,2019-08-30,BTC
1567209600,9714.11,9512.03,9587.25,15427.47,148320616.41,9624.54,direct,,2019-08-31,BTC
1567296000,9823.53,9578.66,9624.54,15485.86,149995549.7,9768.36,direct,,2019-09-01,BTC
1567382400,10459.0,9764.76,9768.36,42504.5,429220162.8,10387.5,direct,,2019-09-02,BTC
1567468800,10773.27,10296.3,10387.5,52101.71,550564712.84,10625.1,direct,,2019-09-03,BTC
1567555200,10827.14,10392.88,10625.1,41229.09,436210232.43,10585.2,direct,,2019-09-04,BTC
1567641600,10659.6,10475.88,10585.2,23957.29,253210793.56,10556.16,direct,,2019-09-05,BTC
1567728000,10938.39,10228.17,10556.16,54409.77,577987384.8,10309.91,direct,,2019-09-06,BTC
1567814400,10574.99,10304.22,10309.91,18864.32,197436363.34,10491.96,direct,,2019-09-07,BTC
1567900800,10595.71,10286.85,10491.96,18990.22,198370974.82,10420.88,direct,,2019-09-08,BTC
1567987200,10514.59,10101.87,10420.88,33044.44,340516851.61,10314.88,direct,,2019-09-09,BTC
1568073600,10395.1,9966.94,10314.88,26197.16,266382297.99,10109.46,direct,,2019-09-10,BTC
1568160000,10251.97,9874.13,10109.46,28189.47,283998084.25,10165.01,direct,,2019-09-11,BTC
1568246400,10472.07,10057.09,10165.01,26821.06,275877681.63,10428.96,direct,,2019-09-12,BTC
1568332800,10591.45,9855.34,10428.96,24372.25,251594742.18,10372.29,direct,,2019-09-13,BTC
1568419200,10455.38,10251.96,10372.29,15570.76,161565882.04,10365.56,direct,,2019-09-14,BTC
1568505600,10401.53,10279.58,10365.56,11651.76,120645589.34,10313.02,direct,,2019-09-15,BTC
